drug,smiles,BBB_score,MW,LogP,TPSA,HBD,HBA
Peginterferon alfa-2b,,,,,,,
Peginterferon beta-1a,,,,,,,
Pelitinib,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)F)Cl)C#N)NC(=O)C=CCN(C)C,2.0,467.93200000000013,5.097580000000004,90.27999999999999,2.0,6.0
Pemetrexed,C1=CC(=CC=C1CCC2=CNC3=C2C(=O)NC(=N3)N)C(=O)NC(CCC(=O)O)C(=O)O,3.0,427.4170000000002,0.6664,191.25999999999996,6.0,6.0
Pexidartinib,C1=CC(=NC=C1CC2=CNC3=C2C=C(C=N3)Cl)NCC4=CN=C(C=C4)C(F)(F)F,6.0,417.82200000000006,5.2280000000000015,66.49000000000001,2.0,4.0
Pimasertib,C1=CC(=C(C=C1I)F)NC2=C(C=CN=C2)C(=O)NCC(CO)O,4.0,431.20500000000015,1.6519000000000004,94.48,4.0,5.0
Ponatinib,CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CN=C5N4N=CC=C5,6.0,532.5700000000003,4.456020000000003,65.77000000000001,1.0,5.0
Ponesimod,CCCN=C1N(C(=O)C(=CC2=CC(=C(C=C2)OCC(CO)O)Cl)S1)C3=CC=CC=C3C,5.0,460.9830000000001,4.267320000000004,82.36000000000001,2.0,6.0
Pralatrexate,C#CCC(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,1.0,477.4810000000003,0.9815999999999996,207.29999999999995,5.0,9.0
Pralsetinib,CC1=CC(=NN1)NC2=NC(=NC(=C2)C)C3CCC(CC3)(C(=O)NC(C)C4=CN=C(C=C4)N5C=C(C=N5)F)OC,2.0,533.6120000000002,4.200140000000003,135.53,3.0,8.0
Proguanil,CC(C)N=C(N)N=C(N)NC1=CC=C(C=C1)Cl,7.0,253.73700000000005,1.7897,88.78999999999999,3.0,1.0
Propylthiouracil,CCCC1=CC(=O)NC(=S)N1,8.0,170.237,1.38499,48.65,2.0,2.0
Regorafenib,CNC(=O)C1=NC=CC(=C1)OC2=CC(=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F)F,2.0,482.8210000000001,5.688800000000001,92.35,3.0,4.0
Relugolix,CN(C)CC1=C(SC2=C1C(=O)N(C(=O)N2CC3=C(C=CC=C3F)F)C4=NN=C(C=C4)OC)C5=CC=C(C=C5)NC(=O)NOC,2.0,623.6420000000002,3.7505000000000015,132.61,2.0,9.0
Ripretinib,CCN1C2=CC(=NC=C2C=C(C1=O)C3=CC(=C(C=C3Br)F)NC(=O)NC4=CC=CC=C4)NC,4.0,510.3670000000001,5.670700000000004,88.05,3.0,4.0
Romidepsin,CC=C1C(=O)NC(C(=O)OC2CC(=O)NC(C(=O)NC(CSSCCC=C2)C(=O)N1)C(C)C)C(C)C,2.0,540.7080000000002,1.4296000000000006,142.7,4.0,8.0
Ropeginterferon alfa-2b,COCCOC(=O)NCCCCC(CCN1CCCC1C(=O)O)NC(=O)OCCOC,4.0,447.5290000000002,1.2096000000000022,135.66000000000003,3.0,8.0
Rucaparib,CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=C3C(=CC(=C4)F)N2,8.0,323.3709999999999,2.9793000000000003,56.919999999999995,3.0,2.0
Seliciclib,CCC(CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NCC3=CC=CC=C3,7.0,354.4580000000001,3.2021000000000015,87.89,3.0,6.0
Selinexor,C1=CN=C(C=N1)NNC(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,5.0,443.31100000000004,3.386700000000001,97.62,2.0,6.0
Selumetinib,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO,5.0,457.6870000000001,3.525600000000001,88.41000000000001,3.0,5.0
Siponimod,CCC1=C(C=CC(=C1)C(=NOCC2=CC(=C(C=C2)C3CCCCC3)C(F)(F)F)C)CN4CC(C4)C(=O)O,5.0,516.6040000000004,6.772700000000007,62.129999999999995,1.0,4.0
Sonidegib,CC1CN(CC(O1)C)C2=NC=C(C=C2)NC(=O)C3=CC=CC(=C3C)C4=CC=C(C=C4)OC(F)(F)F,5.0,485.50600000000014,5.821520000000004,63.69,1.0,5.0
Sorafenib,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,2.0,464.83100000000013,5.549700000000002,92.35,3.0,4.0
Sunitinib,CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C,7.0,398.48200000000014,3.3349400000000022,77.23,3.0,3.0
Talazoparib,CN1C(=NC=N1)C2C(NC3=CC(=CC4=C3C2=NNC4=O)F)C5=CC=C(C=C5)F,7.0,380.35800000000006,2.6285000000000007,88.49000000000001,2.0,5.0
Tamoxifen,CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3,6.0,371.52400000000006,5.996100000000006,12.47,0.0,2.0
Tazemetostat,CCN(C1CCOCC1)C2=CC(=CC(=C2C)C(=O)NCC3=C(C=C(NC3=O)C)C)C4=CC=C(C=C4)CN5CCOCC5,5.0,572.75,4.734660000000004,86.9,2.0,6.0
Tepotinib,CN1CCC(CC1)COC2=CN=C(N=C2)C3=CC=CC(=C3)CN4C(=O)C=CC(=N4)C5=CC=CC(=C5)C#N,3.0,492.58300000000025,4.007880000000003,96.93,0.0,7.0
Tivozanib,CC1=CC(=NO1)NC(=O)NC2=C(C=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OC)OC)Cl,2.0,454.87000000000023,5.638120000000003,107.74000000000001,2.0,7.0
Trametinib,CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC=CC(=C4)NC(=O)C)C5CC5,3.0,615.403,3.940120000000002,107.13,2.0,5.0
Tretinoin,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,6.0,300.44200000000006,5.602600000000005,37.3,1.0,1.0
Trilaciclib,CN1CCN(CC1)C2=CN=C(C=C2)NC3=NC=C4C=C5C(=O)NCC6(N5C4=N3)CCCCC6,5.0,446.55900000000037,2.7245,91.21,2.0,7.0
Trimetrexate,CC1=C(C=CC2=C1C(=NC(=N2)N)N)CNC3=CC(=C(C(=C3)OC)OC)OC,4.0,369.4250000000001,2.740520000000001,117.54,3.0,8.0
Triptorelin,CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NCC(=O)N)NC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CC5=CNC6=CC=CC=C65)NC(=O)C(CC7=CN=CN7)NC(=O)C8CCC(=O)N8,1.0,1311.4730000000006,-2.294800000000013,490.4199999999999,17.0,15.0
Vandetanib,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC,5.0,475.3620000000001,5.004200000000004,59.510000000000005,1.0,6.0
Veliparib,CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N,7.0,244.29800000000003,1.2603999999999997,83.8,3.0,3.0
Vinblastine,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,2.0,810.9890000000001,3.990900000000004,154.1,3.0,12.0
Vismodegib,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)NC2=CC(=C(C=C2)Cl)C3=CC=CC=N3)Cl,6.0,421.30500000000006,4.711200000000003,76.13,1.0,4.0
Vorinostat,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,7.0,264.3249999999999,2.4710999999999994,78.43,3.0,3.0
Zanubrutinib,C=CC(=O)N1CCC(CC1)C2CCNC3=C(C(=NN23)C4=CC=C(C=C4)OC5=CC=CC=C5)C(=O)N,3.0,471.5610000000002,4.222600000000002,102.48,2.0,5.0
Arsenic trioxide,[O-2].[O-2].[O-2].[As+3].[As+3],6.0,197.841,-1.118,85.5,0.0,0.0
